"";"level";"D";"E";"B";"p"
"n";"";"   13";"    4";"    9";""
"SEXO (%)";"F";"    4 ( 30.8) ";"    0 (  0.0) ";"    3 ( 33.3) ";" 0.603"
"";"M";"    9 ( 69.2) ";"    4 (100.0) ";"    6 ( 66.7) ";""
"IDADE (mean (sd))";"";"35.23 (8.08)";"33.75 (6.24)";"35.22 (5.17)";" 0.927"
"RACA (%)";"Outros";"    3 ( 23.1) ";"    2 ( 50.0) ";"    2 ( 22.2) ";" 0.697"
"";"Branca";"   10 ( 76.9) ";"    2 ( 50.0) ";"    7 ( 77.8) ";""
"IMC (mean (sd))";"";"24.24 (4.85)";"24.35 (2.76)";"23.57 (3.91)";" 0.925"
"CAM (%)";"N";"    2 ( 15.4) ";"    1 ( 25.0) ";"    1 ( 11.1) ";" 0.147"
"";"D";"    4 ( 30.8) ";"    0 (  0.0) ";"    2 ( 22.2) ";""
"";"E";"    0 (  0.0) ";"    2 ( 50.0) ";"    0 (  0.0) ";""
"";"B";"    7 ( 53.8) ";"    1 ( 25.0) ";"    6 ( 66.7) ";""
"PINCER (%)";"N";"    4 ( 30.8) ";"    1 ( 25.0) ";"    4 ( 44.4) ";" 0.711"
"";"D";"    3 ( 23.1) ";"    1 ( 25.0) ";"    0 (  0.0) ";""
"";"E";"    1 (  7.7) ";"    1 ( 25.0) ";"    1 ( 11.1) ";""
"";"B";"    5 ( 38.5) ";"    1 ( 25.0) ";"    4 ( 44.4) ";""
"MISTO (%)";"Simples";"    6 ( 46.2) ";"    3 ( 75.0) ";"    6 ( 66.7) ";" 0.237"
"";"D";"    4 ( 30.8) ";"    0 (  0.0) ";"    0 (  0.0) ";""
"";"E";"    1 (  7.7) ";"    1 ( 25.0) ";"    0 (  0.0) ";""
"";"B";"    2 ( 15.4) ";"    0 (  0.0) ";"    3 ( 33.3) ";""
