"";"level";"F";"M";"p"
"n";"";"   14";"   38";""
"IDADE (mean (sd))";"";"35.00 (6.13)";"35.00 (6.89)";" 1.000"
"IMC (mean (sd))";"";"19.54 (2.35)";"25.67 (3.31)";"<0.001"
"GRUPO (%)";"Controle";"    4 ( 28.6) ";"   13 ( 34.2) ";" 1.000"
"";"Doloroso";"   10 ( 71.4) ";"   25 ( 65.8) ";""
"CAM (%)";"FALSE";"    8 ( 57.1) ";"    8 ( 21.1) ";" 0.019"
"";"TRUE";"    6 ( 42.9) ";"   30 ( 78.9) ";""
"PINCER (%)";"FALSE";"    1 (  7.1) ";"   21 ( 55.3) ";" 0.002"
"";"TRUE";"   13 ( 92.9) ";"   17 ( 44.7) ";""
"MISTO (%)";"FALSE";"    9 ( 64.3) ";"   27 ( 71.1) ";" 0.738"
"";"TRUE";"    5 ( 35.7) ";"   11 ( 28.9) ";""
